Team,Seed,OldFGM,Old No. Games,OldFGA,OldFGM3,OldFGA3,OldFTM,OldFTA,OR,DR,Ast,TO,Stl,Blk,PF,FTM,FTA,FGM3,FGA3,FGM,FGA,PA
F Dickinson,16,921,35,1939,269,672,509,702,9.46,23.54,13.9,13.7,7.5,3.8,16.5,14.54285714,20.05714286,7.685714286,19.2,26.31428571,55.4,71.9
Gonzaga,1,1177,37,2239,287,790,575,755,9.95,29.05,18.3,10.5,7.5,5.5,16.3,15.54054054,20.40540541,7.756756757,21.35135135,31.81081081,60.51351351,64.9
Baylor,9,869,34,1966,274,803,430,635,13.24,24.24,13.9,13.1,6.1,4.7,18.8,12.64705882,18.67647059,8.058823529,23.61764706,25.55882353,57.82352941,67.7
Syracuse,8,808,34,1907,274,824,480,701,10.79,23.79,12,12.5,8.2,4.8,17.3,14.11764706,20.61764706,8.058823529,24.23529412,23.76470588,56.08823529,66.1
Vermont,13,864,34,1887,273,761,507,678,9.24,25.88,11.7,11.1,5.5,4,16.7,14.91176471,19.94117647,8.029411765,22.38235294,25.41176471,55.5,63
Florida St,4,960,37,2171,272,819,572,767,11.43,26.16,12.9,13.3,7.2,4.3,19.1,15.45945946,20.72972973,7.351351351,22.13513514,25.94594595,58.67567568,67.2
Murray St,12,988,33,2007,258,731,493,673,10.82,27.06,17.9,12.1,7.5,4.5,16,14.93939394,20.39393939,7.818181818,22.15151515,29.93939394,60.81818182,68.3
Marquette,5,893,34,1969,319,822,524,692,9.88,28.35,13.4,13.9,4.9,4.3,18.7,15.41176471,20.35294118,9.382352941,24.17647059,26.26470588,57.91176471,69.5
Arizona St,11,899,34,2012,240,714,600,882,11.79,27.82,13.5,13.7,6.3,3.2,19.9,17.64705882,25.94117647,7.058823529,21,26.44117647,59.17647059,73.4
Buffalo,6,1083,36,2344,344,1022,527,767,12.67,28.24,16.6,12,7.3,3.9,18.3,14.63888889,21.30555556,9.555555556,28.38888889,30.08333333,65.11111111,70.8
N Kentucky,14,979,35,2048,306,845,483,725,10.66,26.43,16.9,12.6,6.2,4,19,13.8,20.71428571,8.742857143,24.14285714,27.97142857,58.51428571,68.9
Texas Tech,3,941,36,1996,258,706,462,637,8.69,25.56,14.1,12.3,7.4,4.9,17.4,12.83333333,17.69444444,7.166666667,19.61111111,26.13888889,55.44444444,59
Florida,10,857,36,2015,291,872,435,603,10.44,22.83,12.1,11.7,7.1,3.6,17.1,12.08333333,16.75,8.083333333,24.22222222,23.80555556,55.97222222,63.6
Nevada,7,924,34,1999,297,855,578,816,9.59,27.85,14.6,10.4,6.2,3.9,17.2,17,24,8.735294118,25.14705882,27.17647059,58.79411765,66.7
Montana,15,975,35,1983,287,763,428,621,8.6,25,14.6,11.9,6.5,3,18.8,12.22857143,17.74285714,8.2,21.8,27.85714286,56.65714286,68.5
Michigan,2,941,37,2102,287,839,395,562,8.32,26.84,14,9.1,6.1,4.1,13.9,10.67567568,15.18918919,7.756756757,22.67567568,25.43243243,56.81081081,58.3
Belmont,11,1042,33,2094,343,922,441,598,8.79,29.85,19.5,11.4,6.7,3.8,15.5,13.36363636,18.12121212,10.39393939,27.93939394,31.57575758,63.45454545,73.9
Maryland,6,858,34,1909,247,707,466,627,11.18,28.12,13.1,12.9,4.4,4.8,15.5,13.70588235,18.44117647,7.264705882,20.79411765,25.23529412,56.14705882,65.5
Yale,14,893,30,1812,230,634,411,557,8.77,29.83,16.8,13.1,5.9,4.4,17,13.7,18.56666667,7.666666667,21.13333333,29.76666667,60.4,73.4
LSU,3,988,35,2162,236,740,594,788,13.37,25.34,13.1,13.1,8.8,4.4,18.1,16.97142857,22.51428571,6.742857143,21.14285714,28.22857143,61.77142857,73.1
Minnesota,10,887,36,2039,191,603,578,848,11.31,25.17,14.5,11.6,4.9,3.9,16.1,16.05555556,23.55555556,5.305555556,16.75,24.63888889,56.63888889,69.4
Louisville,7,854,34,1967,294,860,534,687,10.21,27.94,13.5,12.2,4.4,2.9,17.4,15.70588235,20.20588235,8.647058824,25.29411765,25.11764706,57.85294118,68.4
